"Station Name","KENTVILLE CDA CS"
"Province","NOVA SCOTIA"
"Latitude","45.07"
"Longitude","-64.48"
"Elevation","48.70"
"Climate Identifier","8202810"
"WMO Identifier","71671"
"TC Identifier","XKT"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-07","1996","07","23.8","","14.4","","19.1","","29.6","","10.7","S","","","","","147.5","","0","",,"",,""
"1996-08","1996","08","24.8","","13.8","","19.4","","31.6","","8.5","","","","","","24.4","","0","",,"",,""
"1996-09","1996","09","18.8","","11.3","","15.1","","27.6","","3.7","","","","","","260.7","","0","",,"",,""
"1996-10","1996","10","12.3","","3.7","","8.0","","20.4","","-1.7","","","","","","95.5","","0","",,"",,""
"1996-11","1996","11","6.1","","0.0","","3.0","","19.0","","-8.7","","","","","","91.3","","","",,"",,""
"1996-12","1996","12","4.8","","-1.9","","1.5","","15.5","","-15.7","","","","","","91.8","","0","",,"",,""
"1997-01","1997","01","-0.8","","-9.5","","-5.2","","10.9","","-20.9","","","","","","95.9","","2","",,"",,""
"1997-02","1997","02","-0.2","","-8.4","","-4.3","","10.6","","-17.1","","","","","","71.8","","4","",,"",,""
"1997-03","1997","03","1.1","","-6.9","","-2.9","","10.0","","-17.0","","","","","","95.1","","11","",,"",,""
"1997-04","1997","04","7.1","","-1.2","","2.9","","14.4","S","-11.7","","","","","","93.4","","0","",,"",,""
"1997-05","1997","05","15.3","","5.5","","10.4","","22.0","S","0.0","","","","","","72.4","","0","",,"",,""
"1997-06","1997","06","21.4","","9.9","","15.7","","31.1","","1.3","","","","","","56.6","","0","",,"",,""
"1997-07","1997","07","26.8","","13.8","","20.3","","31.0","","7.5","","","","","","22.8","","0","",,"",,""
"1997-08","1997","08","23.7","","13.5","","18.6","","30.9","","7.8","","","","","","50.7","","0","",,"",,""
"1997-09","1997","09","19.6","","10.9","","15.3","","26.9","","1.5","S","","","","","58.9","","0","",,"",,""
"1997-10","1997","10","12.0","","3.0","","7.5","","20.9","","-3.3","","","","","","31.8","","0","",,"",,""
"1997-11","1997","11","6.0","","-0.5","","2.8","","18.9","","-11.3","","","","","","132.4","","14","",,"",,""
"1997-12","1997","12","1.2","","-5.7","","-2.2","","11.2","","-20.9","","","","","","92.7","","11","",,"",,""
"1998-01","1998","01","0.2","","-6.5","","-3.1","","11.7","","-17.0","","","","","","157.8","","20","",,"",,""
"1998-02","1998","02","2.0","","-5.5","","-1.7","","8.3","","-14.6","","","","","","88.5","","0","",,"",,""
"1998-03","1998","03","5.4","","-3.0","","1.2","","25.0","","-13.7","","","","","","123.0","","0","",,"",,""
"1998-04","1998","04","10.5","","1.7","","6.1","","20.6","","-4.4","","","","","","87.7","","0","",,"",,""
"1998-05","1998","05","20.2","I","8.3","I","14.2","I","28.0","I","0.3","I","","","","","39.8","","0","",,"",,""
"1998-06","1998","06","20.7","","10.9","","15.8","","28.4","","3.8","","","","","","50.8","","0","",,"",,""
"1998-07","1998","07","26.6","","14.4","","20.5","","32.7","","9.8","","","","","","31.3","","0","",,"",,""
"1998-08","1998","08","25.8","","14.3","","20.1","","32.5","","8.4","","","","","","55.1","","0","",,"",,""
"1998-09","1998","09","19.7","","11.4","","15.5","","25.5","","4.7","","","","","","133.5","","0","",,"",,""
"1998-10","1998","10","12.7","","5.6","","9.2","","22.3","","-4.9","","","","","","191.6","","0","",,"",,""
"1998-11","1998","11","6.5","E","0.2","E","3.5","E","15.6","E","-6.6","E","","","","","82.8","","0","",,"",,""
"1998-12","1998","12","3.9","","-4.1","","-0.1","","17.5","","-15.6","","","","","","45.7","","4","",,"",,""
"1999-01","1999","01","1.5","","-8.9","","-3.7","","18.1","","-21.9","","","","","","78.6","","1","",,"",,""
"1999-02","1999","02","1.8","","-6.2","","-2.2","","14.9","","-17.1","","","","","","63.0","","11","",,"",,""
"1999-03","1999","03","7.2","I","-1.3","I","2.9","I","14.4","I","-8.7","I","","","","","121.3","I","0","",,"",,""
"1999-04","1999","04","9.4","","1.1","","5.3","","16.0","","-4.1","","","","","","0.0","I","0","",,"",,""
"1999-05","1999","05","20.4","","7.4","","13.9","","27.8","","-0.6","","","","","","0.0","I","0","",,"",,""
"1999-06","1999","06","25.4","","12.3","","18.9","","32.6","","4.6","","","","","","35.6","","0","",,"",,""
"1999-07","1999","07","27.0","","15.4","","21.2","","34.6","","9.3","","","","","","32.5","","0","",,"",,""
"1999-08","1999","08","24.6","","14.4","","19.6","","29.4","","8.2","","","","","","114.2","","0","",,"",,""
"1999-09","1999","09","24.5","","13.5","","19.0","","31.1","","5.1","","","","","","213.4","","0","",,"",,""
"1999-10","1999","10","13.1","","3.6","","8.4","","23.0","","-3.5","","","","","","114.9","","0","",,"",,""
"1999-11","1999","11","9.6","","2.3","","6.0","","19.1","","-6.4","","","","","","73.7","","0","",,"",,""
"1999-12","1999","12","3.8","","-3.1","","0.4","","15.9","","-13.3","","","","","","108.0","","3","",,"",,""
"2000-01","2000","01","0.5","","-8.9","","-4.2","","17.3","","-21.9","","","","","","182.2","","","M",,"",,""
"2000-02","2000","02","2.2","I","-7.1","I","-2.6","I","16.9","I","-18.2","I","","","","","10.7","I","5","",,"",,""
"2000-03","2000","03","5.8","","-2.6","","1.6","","18.2","","-10.3","","","","","","116.4","","0","",,"",,""
"2000-04","2000","04","10.4","","2.3","","6.4","","19.8","","-4.9","","","","","","89.1","","0","",,"",,""
"2000-05","2000","05","15.1","","4.9","","10.0","","21.1","S","-0.4","","","","","","58.0","","0","",,"",,""
"2000-06","2000","06","22.4","","10.3","","16.4","","32.6","","0.7","","","","","","46.0","","0","",,"",,""
"2000-07","2000","07","24.3","","13.2","","18.8","","28.2","S","8.5","","","","","","72.4","","0","",,"",,""
"2000-08","2000","08","24.4","","13.9","","19.2","","28.8","","7.3","","","","","","36.6","","0","",,"",,""
"2000-09","2000","09","19.7","","9.4","","14.6","","29.9","","-0.8","","","","","","58.4","","0","",,"",,""
"2000-10","2000","10","14.8","","4.9","","9.9","","21.8","","-2.3","","","","","","197.6","","0","",,"",,""
"2000-11","2000","11","6.9","","2.3","","4.6","","13.4","","-7.5","S","","","","","98.6","","0","",,"",,""
"2000-12","2000","12","0.4","","-6.7","","-3.2","","15.4","","-15.8","","","","","","100.9","","34","",,"",,""
"2001-01","2001","01","-1.5","","-10.3","","-5.9","","4.8","","-20.1","","","","","","74.8","","57","",,"",,""
"2001-02","2001","02","-1.2","","-9.4","","-5.3","","9.6","","-17.7","","","","","","53.2","","50","",,"",,""
"2001-03","2001","03","2.9","","-5.0","","-1.0","","10.8","","-20.3","","","","","","64.9","","25","",,"",,""
"2001-04","2001","04","8.0","","-0.4","","3.8","","24.7","","-7.1","","","","","","77.2","","0","",,"",,""
"2001-05","2001","05","18.2","","6.3","","12.3","","26.8","","-2.3","","","","","","139.5","","0","",,"",,""
"2001-06","2001","06","24.0","","12.4","","18.2","","31.2","","4.3","","","","","","80.3","","0","",,"",,""
"2001-07","2001","07","25.0","","13.0","","19.1","","33.4","","8.4","","","","","","26.0","","0","",,"",,""
"2001-08","2001","08","27.5","","15.0","","21.3","","36.4","","5.6","","","","","","12.3","","0","",,"",,""
"2001-09","2001","09","22.3","","10.5","","16.4","","31.3","","3.7","","","","","","78.0","","0","",,"",,""
"2001-10","2001","10","16.7","","5.5","","11.1","","26.2","","-2.6","","","","","","","","0","",,"",,""
"2001-11","2001","11","9.3","","1.3","","5.3","","17.9","","-7.3","","","","","","100.7","","","",,"",,""
"2001-12","2001","12","3.7","","-2.2","","0.8","","16.7","","-9.7","","","","","","69.1","","27","",,"",,""
"2002-01","2002","01","-0.1","","-5.9","","-3.0","","6.3","","-13.9","","","","","","123.0","","47","",,"",,""
"2002-02","2002","02","1.0","","-7.6","","-3.3","","11.7","","-20.6","","","","","","84.4","","0","",,"",,""
"2002-03","2002","03","4.2","","-4.3","","-0.1","","13.3","","-11.0","","","","","","104.8","","0","",,"",,""
"2002-04","2002","04","9.1","","1.4","","5.3","","16.6","","-4.2","","","","","","104.7","","","",,"",,""
"2002-05","2002","05","17.1","","5.2","","11.2","","26.9","","-1.0","","","","","","72.7","","0","",,"",,""
"2002-06","2002","06","20.4","","9.0","","14.7","","29.1","","1.2","","","","","","45.4","","0","",,"",,""
"2002-07","2002","07","25.0","","13.7","","19.3","","33.5","","7.1","","","","","","58.1","","0","",,"",,""
"2002-08","2002","08","26.0","I","14.6","I","20.2","I","31.6","I","9.6","I","","","","","40.6","I","0","",,"",,""
"2002-09","2002","09","","","","","","","","","","","","","","","","","","",,"",,""
"2002-10","2002","10","12.3","","3.7","","8.0","","26.9","","-4.0","","","","","","87.1","","0","",,"",,""
"2002-11","2002","11","7.1","","-0.5","","3.3","","19.8","","-8.6","","","","","","211.3","","0","",,"",,""
"2002-12","2002","12","1.4","","-5.6","","-2.1","","11.4","","-18.2","","","","","","112.1","","16","",,"",,""
"2003-01","2003","01","-4.3","","-11.2","","-7.8","","5.3","","-22.5","","","","","","69.7","","66","",,"",,""
"2003-02","2003","02","-3.2","","-11.1","","-7.2","","8.5","","-22.8","","","","","","97.5","","67","",,"",,""
"2003-03","2003","03","3.0","","-6.1","","-1.6","","14.1","","-17.7","","","","","","136.1","I","0","",,"",,""
"2003-04","2003","04","8.7","","-1.2","","3.8","","23.2","","-9.2","","","","","","82.8","","0","",,"",,""
"2003-05","2003","05","15.1","","4.8","","10.0","","26.2","","-1.2","","","","","","57.5","","0","",,"",,""
"2003-06","2003","06","22.6","","10.9","","16.8","","31.4","","4.4","","","","","","66.2","","0","",,"",,""
"2003-07","2003","07","26.6","","15.9","","21.3","","30.3","","10.0","","","","","","78.4","","0","",,"",,""
"2003-08","2003","08","24.4","","15.6","","20.0","","30.2","","8.0","","","","","","165.2","","0","",,"",,""
"2003-09","2003","09","22.6","","11.3","","17.0","","27.5","","3.0","","","","","","92.2","","0","",,"",,""
"2003-10","2003","10","14.9","","5.7","","10.3","","24.1","","-0.2","","","","","","116.5","","0","",,"",,""
"2003-11","2003","11","9.2","","1.4","","5.3","","19.2","","-4.8","","","","","","68.5","","0","",,"",,""
"2003-12","2003","12","3.2","","-3.5","","-0.1","","13.7","","-11.0","","","","","","110.9","","0","",,"",,""
"2004-01","2004","01","-6.2","","-13.3","","-9.8","","5.5","","-23.2","","","","","","24.6","","45","",,"",,""
"2004-02","2004","02","-1.1","","-9.3","","-5.2","","6.1","","-22.4","","","","","","26.4","","78","",,"",,""
"2004-03","2004","03","2.7","","-5.6","","-1.5","","9.5","","-13.4","","","","","","58.9","","44","",,"",,""
"2004-04","2004","04","10.2","","0.6","","5.4","","27.4","","-3.7","","","","","","115.2","","0","",,"",,""
"2004-05","2004","05","16.3","","5.6","","10.9","","28.6","","-0.9","","","","","","38.7","","0","",,"",,""
"2004-06","2004","06","20.3","","9.0","","14.7","","30.7","","1.3","","","","","","55.9","","0","",,"",,""
"2004-07","2004","07","24.7","","14.8","","19.8","","31.0","","9.0","","","","","","62.4","","0","",,"",,""
"2004-08","2004","08","25.9","","14.6","","20.3","","29.8","","7.2","","","","","","65.4","","0","",,"",,""
"2004-09","2004","09","20.0","","9.5","","14.8","","26.2","","0.2","","","","","","74.0","","0","",,"",,""
"2004-10","2004","10","14.5","","5.7","","10.2","","21.9","","-5.2","","","","","","114.4","","0","",,"",,""
"2004-11","2004","11","6.8","","0.0","","3.4","","16.3","","-6.5","","","","","","145.4","","0","",,"",,""
"2004-12","2004","12","2.9","","-6.0","","-1.6","","13.8","","-15.9","","","","","","107.6","","45","",,"",,""
"2005-01","2005","01","-3.6","","-11.8","","-7.7","","15.9","","-21.2","","","","","","69.1","","50","",,"",,""
"2005-02","2005","02","0.9","","-9.2","","-4.1","","10.9","","-20.7","S","","","","","42.4","","30","",,"",,""
"2005-03","2005","03","2.9","","-4.9","","-1.0","","11.4","","-15.9","","","","","","89.6","","0","",,"",,""
"2005-04","2005","04","11.6","","1.1","","6.4","","20.0","","-5.1","","","","","","104.3","","0","",,"",,""
"2005-05","2005","05","13.2","","5.2","","9.2","","20.9","","-1.0","","","","","","180.0","","0","",,"",,""
"2005-06","2005","06","22.9","","11.2","","17.1","","31.9","","2.3","","","","","","39.1","","0","",,"",,""
"2005-07","2005","07","24.9","","14.2","","19.6","","31.0","","8.3","","","","","","73.6","","0","",,"",,""
"2005-08","2005","08","25.9","","14.1","","20.0","","31.0","","8.8","","","","","","29.5","","0","",,"",,""
"2005-09","2005","09","22.0","","11.8","","17.0","","28.0","","3.0","","","","","","88.0","","0","",,"",,""
"2005-10","2005","10","15.0","","7.5","","11.3","","25.3","","0.1","","","","","","230.4","","0","",,"",,""
"2005-11","2005","11","10.3","","2.0","","6.2","","18.2","","-4.5","","","","","","135.3","","0","",,"",,""
"2005-12","2005","12","1.9","","-4.3","","-1.2","","12.6","","-13.5","","","","","","119.9","","0","",,"",,""
"2006-01","2006","01","2.8","","-3.7","","-0.5","","14.9","","-10.6","","","","","","73.9","","15","",,"",,""
"2006-02","2006","02","-0.3","","-8.0","","-4.1","","13.1","","-18.1","","","","","","44.9","","4","",,"",,""
"2006-03","2006","03","4.7","","-3.7","","0.5","","15.2","","-18.2","","","","","","15.5","","0","",,"",,""
"2006-04","2006","04","11.0","","1.3","","6.2","","22.0","","-2.6","","","","","","80.5","","0","",,"",,""
"2006-05","2006","05","19.0","","7.5","","13.2","","25.7","","0.7","","","","","","75.1","","0","",,"",,""
"2006-06","2006","06","22.3","","14.1","","18.3","","28.9","","9.8","","","","","","221.5","","0","",,"",,""
"2006-07","2006","07","26.7","","16.5","","21.6","","32.1","","12.4","","","","","","130.0","","0","",,"",,""
"2006-08","2006","08","23.2","","12.7","","18.0","","29.0","","6.2","","","","","","64.6","","0","",,"",,""
"2006-09","2006","09","21.0","","10.1","","15.5","","27.6","","3.4","","","","","","31.7","","0","",,"",,""
"2006-10","2006","10","13.9","","5.1","","9.5","","24.7","","-2.3","","","","","","110.7","","0","",,"",,""
"2006-11","2006","11","10.9","","3.5","","7.3","","20.7","","-4.1","","","","","","101.1","","0","",,"",,""
"2006-12","2006","12","4.0","","-3.0","","0.5","","13.4","","-10.7","","","","","","82.0","","0","",,"",,""
"2007-01","2007","01","0.7","","-8.3","","-3.8","","15.4","","-20.3","","","","","","111.5","","11","",,"",,""
"2007-02","2007","02","-2.7","","-10.9","","-6.9","","4.9","","-19.5","","","","","","32.9","E","40","",,"",,""
"2007-03","2007","03","4.2","","-4.7","","-0.3","","17.1","","-21.4","","","","","","44.9","","0","",,"",,""
"2007-04","2007","04","8.1","","-0.4","","3.9","","26.8","","-6.4","","","","","","91.1","","0","",,"",,""
"2007-05","2007","05","16.1","","5.2","","10.7","","28.7","","-2.4","","","","","","90.6","","0","",,"",,""
"2007-06","2007","06","21.7","","10.7","","16.2","","27.7","","4.9","","","","","","76.7","","0","",,"",,""
"2007-07","2007","07","25.7","","15.0","","20.4","","32.7","","6.8","","","","","","63.8","","0","",,"",,""

